# idx ew_lya ew_lya_err fesc_lya fesc_lya_err_l fesc_lya_err_u
sc_UDS379942_P4M4Q2_019_2.fits 9.23 1.06 0.0459736777607735 0.015768113371883392 0.03380983199790913
sc_UDS391246_P1M2Q2_P1M3Q2_010_2.fits 2.27 1.21 0.01794600371911726 0.00563833140156657 0.011249316855098175
sc_UDS396545_P4M1Q1_P1M4Q2_002_2.fits 9.29 3.05 0.036951217013651005 0.01121781064196 0.02118140893879949
sc_UDS399863_P1M1Q2_P1M3Q2_P1M4Q2_003_1.fits 37.64 3.27 0.2860375041584911 0.10884134138527313 0.29995692015313113
sc_UDS400934_P4M4Q2_022_1.fits 2.47 1.5 0.000644155877162072 0.00020595313187600365 0.00042898989812032763
sc_UDS401981_P1M1Q2_042_2.fits 20.74 3.99 0.021912842204469526 0.0060472849584969485 0.01074751567014754
sc_UDS403157_P4M2Q1_P4M1Q1_P4M4Q1_P4M3Q1_011_1.fits 5.11 3.72 0.007747123884980784 0.0029255462548588504 0.007659352236225541
sc_CDFS018317_P1M3Q1_P1M4Q1_001_3.fits 3.97 2.29 0.0013939807979043682 -99.0 -99.0
sc_CDFS215306_P1M3Q3_P1M4Q3_001_3.fits 10.07 1.25 0.03717058091703283 -99.0 -99.0
sc_CDFS218114_P4M1Q4_P2M2Q4_P2M3Q4_P4M4Q4_P4M3Q4_P4M2Q4_001_1.fits 4.07 2.18 0.0018259716638416889 -99.0 -99.0
sc_CDFS222348_P1M1Q3_P1M2Q3_017_1.fits 11.63 2.69 0.039810246121393306 -99.0 -99.0
sc_CDFS235909_P1M1Q1_P2M4Q1_003_1.fits 4.88 6.51 0.002721417126950393 -99.0 -99.0
sc_CDFS244246_P1M1Q1_P1M2Q1_031_2.fits 2.23 1.6 0.08862363385114959 -99.0 -99.0
sc_UDS015066_P2M2Q1_P2M3Q1_032_1.fits 3.23 1.75 0.00921645397541427 -99.0 -99.0
sc_UDS029983_P1M1Q3_P1M2Q3_P1M3Q3_P1M4Q3_002_2.fits 21.02 4.15 0.16805877420691487 -99.0 -99.0
sc_UDS281966_P2M2Q4_P2M3Q4_024_1.fits 1.54 4.76 0.039830951611654876 -99.0 -99.0
sc_UDS292070_P4M3Q4_P4M2Q4_P4M1Q4_001_2.fits 6.58 1.02 0.007611414900883323 -99.0 -99.0
sc_UDS386029_P4M3Q2_002_1.fits 7.07 3.02 0.006423997609810961 -99.0 -99.0
sc_UDS387983_P3M3Q1_016_1.fits 3.26 1.63 0.0011268175879012284 -99.0 -99.0
sc_CDFS020519_P2M3Q2_P2M4Q2_004_2.fits 14.99 3.15 0.03565921390723536 -99.0 -99.0
sc_CDFS034641_P1M2Q2_P1M3Q2_P1M4Q2_003_1.fits 96.44 29.19 0.08499471158960097 -99.0 -99.0
sc_CDFS213252_P2M1Q3_037_1.fits 37.74 15.65 0.03539842471324919 -99.0 -99.0
sc_CDFS246933_P3M3Q1_P1M2Q1_P3M2Q1_P1M1Q1_001_1.fits 2.24 1.19 0.006339860942681249 -99.0 -99.0
sc_UDS003118_P1M1Q3_P1M2Q3_P1M3Q3_P1M4Q3_006_2.fits 11.6 1.66 0.07882499371342208 -99.0 -99.0
sc_UDS283510_P3M1Q3_P3M2Q3_028_1.fits 103.52 12.51 0.23307381268532024 -99.0 -99.0
sc_UDS299304_P4M2Q4_002_1.fits 9.24 4.52 0.32935482634619084 -99.0 -99.0
